Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 235931, 339673, 509509500, 20.3805, 85060, 127590000, 8.49662, 0.727355, 0.000939627, 0.735008
8, 236032, 339673, 509509500, 20.3805, 84959, 127438500, 8.47421, 0.730474, 0.000955098, 0.735323
12, 236014, 339673, 509509500, 20.3805, 84977, 127465500, 8.47578, 0.730407, 0.000987413, 0.735267
16, 243231, 339673, 509509500, 20.3805, 77760, 116640000, 7.75743, 0.733471, 0.000827766, 0.75775
20, 236018, 339673, 509509500, 20.3805, 84973, 127459500, 8.47509, 0.734306, 0.000961041, 0.735279
24, 235956, 339673, 509509500, 20.3805, 85035, 127552500, 8.49127, 0.733089, 0.000929815, 0.735086
28, 235963, 339673, 509509500, 20.3805, 85028, 127542000, 8.49406, 0.728859, 0.000950662, 0.735108
32, 235942, 339673, 509509500, 20.3805, 85049, 127573500, 8.49741, 0.726869, 0.000937762, 0.735042
