Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
6, 84350, 84918, 127377000, 10.1903, 5, 7500, 0.109176, 0.494067, 0.00460303, 0.999941
10, 84360, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
14, 84360, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
18, 84340, 84918, 127377000, 10.1903, 13, 19500, 0.309336, 0.164596, 0.0398747, 0.999846
22, 84360, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
26, 84298, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
30, 84357, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
34, 84355, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
38, 84330, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
42, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
46, 84344, 84918, 127377000, 10.1903, 11, 16500, 0.259571, 0.199511, 0.0465471, 0.99987
50, 84354, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
54, 84352, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
58, 84355, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
62, 84354, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
66, 84354, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
70, 84348, 84918, 127377000, 10.1903, 6, 9000, 0.140049, 0.328171, 0.0575363, 0.999929
74, 84347, 84918, 127377000, 10.1903, 7, 10500, 0.174656, 0.272605, 0.0553193, 0.999917
78, 84354, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
