Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 60543, 84918, 127377000, 10.1903, 23382, 35073000, 2.8059, 1.05678, 0.00324045, 0.721394
8, 60619, 84918, 127377000, 10.1903, 23294, 34941000, 2.7954, 1.05364, 0.00313204, 0.722403
12, 60515, 84918, 127377000, 10.1903, 23356, 35034000, 2.80276, 1.05289, 0.00323841, 0.721525
16, 60674, 84918, 127377000, 10.1903, 23212, 34818000, 2.78557, 1.05172, 0.00305546, 0.723291
20, 61263, 84918, 127377000, 10.1903, 23200, 34800000, 2.78408, 1.06354, 0.00308952, 0.725324
24, 60521, 84918, 127377000, 10.1903, 23347, 35020500, 2.80168, 1.05822, 0.00320369, 0.721622
28, 60598, 84918, 127377000, 10.1903, 23292, 34938000, 2.79514, 1.05981, 0.00311445, 0.722351
32, 60545, 84918, 127377000, 10.1903, 23331, 34996500, 2.79985, 1.0561, 0.00314902, 0.721839
36, 60584, 84918, 127377000, 10.1903, 23343, 35014500, 2.80123, 1.05794, 0.00315207, 0.721865
40, 60611, 84918, 127377000, 10.1903, 23296, 34944000, 2.7956, 1.05771, 0.00311762, 0.722359
44, 60576, 84918, 127377000, 10.1903, 23293, 34939500, 2.79527, 1.05998, 0.00311284, 0.722269
